wavelength_AA,formatted_ion,formatted_ion_simple,show
7870.359,$\mathrm{Ar}~\textsc{i}$,Ar I,0
7892.071,$\mathrm{[Ni}~\textsc{iii}]$,[Ni III],0
7893.971,$\mathrm{[Fe}~\textsc{xi}]$,[Fe XI],0
8239.054,$\mathrm{He}~\textsc{ii}$,He II,0
8394.703,Pa20,Pa20,0
8415.63,Pa19,Pa19,0
8440.275,Pa18,Pa18,0
8448.68,$\mathrm{O}~\textsc{i}$,O I,0
8469.581,Pa17,Pa17,0
8500.355,$\mathrm{Ca}~\textsc{ii}$,Ca II,0
8504.819,Pa16,Pa16,0
8544.437,$\mathrm{Ca}~\textsc{ii}$,Ca II,0
8547.731,Pa15,Pa15,0
8581.057,$\mathrm{[Cl}~\textsc{ii}]$,[Cl II],0
8600.754,Pa14,Pa14,0
8619.317,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],0
8664.519,$\mathrm{Ca}~\textsc{ii}$,Ca II,0
8667.399,Pa13,Pa13,0
8682.666,$\mathrm{N}~\textsc{i}$,N I,0
8705.637,$\mathrm{N}~\textsc{i}$,N I,0
8714.096,$\mathrm{N}~\textsc{i}$,N I,0
8752.875,Pa12,Pa12,0
8865.216,Pa11,Pa11,0
8894.352,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],0
9017.384,Pa10,Pa10,0
9071.089,$\mathrm{[S}~\textsc{iii}]$,[S III],1
9231.547,Pa9,Pa9,0
9533.715,$\mathrm{[S}~\textsc{iii}]$,[S III],1
9548.588,Pa$\epsilon$,Pa$\epsilon$,0
9826.824,$\mathrm{[C}~\textsc{i}]$,[C I],0
9852.961,$\mathrm{[C}~\textsc{i}]$,[C I],1
9915.718,$\mathrm{[S}~\textsc{viii}]$,[S VIII],0
10030.479,$\mathrm{He}~\textsc{i}$,He I,0
10033.91,$\mathrm{He}~\textsc{i}$,He I,0
10052.123,Pa$\delta$,Pa$\delta$,1
10289.549,$\mathrm{[S}~\textsc{ii}]$,[S II],0
10323.319,$\mathrm{[S}~\textsc{ii}]$,[S II],0
10339.243,$\mathrm{[S}~\textsc{ii}]$,[S II],0
10749.744,$\mathrm{[Fe}~\textsc{xiii}]$,[Fe XIII],0
10833.307,$\mathrm{He}~\textsc{i}$,He I,1
10941.082,Pa$\gamma$,Pa$\gamma$,1
11473.14,$\mathrm{[P}~\textsc{ii}]$,[P II],0
11889.253,$\mathrm{[P}~\textsc{ii}]$,[P II],0
12570.438,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],1
12821.6,Pa$\beta$,Pa$\beta$,1
12953.542,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],0
13212.613,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],1
15346.193,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],0
16440.49,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],1
16777.582,$\mathrm{[Fe}~\textsc{ii}]$,[Fe II],0
16806.59,Br11,Br11,0
17364.742,Br10,Br10,0
18755.12,Pa$\alpha$,Pa$\alpha$,0
19451.309,Br$\delta$,Br$\delta$,0
19575.343,H$_2$,H$_2$,0
20337.55,H$_2$,H$_2$,0
20585.618,H$_2$,H$_2$,0
21223.792,H$_2$,H$_2$,0
21659.91,Br$\gamma$,Br$\gamma$,0
22236.067,H$_2$,H$_2$,0
22476.133,H$_2$,H$_2$,0
